,n features,mean score,std score
0,10,0.7020000000000001,0.19156200040717888
1,11,0.7114999999999999,0.19771886606998332
2,12,0.6999999999999998,0.20868636754709205
3,13,0.7094999999999999,0.19731890431481725
4,14,0.704,0.2132697822008547
5,15,0.6884999999999998,0.20638011047579172
6,16,0.6779999999999998,0.20836506425022402
7,17,0.6599999999999998,0.21494185260204676
8,18,0.6614999999999999,0.21792831390161307
9,19,0.6614999999999999,0.21792831390161307
10,20,0.6589999999999999,0.2117049834085159
11,21,0.6564999999999999,0.2168703529761502
12,22,0.6614999999999999,0.21792831390161305
13,23,0.6445000000000001,0.2260414784945453
14,24,0.6614999999999999,0.21792831390161305
15,25,0.6614999999999999,0.21792831390161307
16,26,0.6609999999999998,0.21582168565739634
17,27,0.6614999999999999,0.21792831390161305
18,28,0.6614999999999999,0.21792831390161305
19,29,0.6594999999999999,0.219396330871781
20,30,0.6609999999999998,0.21582168565739634
21,31,0.6614999999999999,0.21792831390161307
22,32,0.6614999999999999,0.21792831390161305
23,33,0.6614999999999999,0.21792831390161307
24,34,0.6594999999999999,0.219396330871781
25,35,0.6614999999999999,0.21792831390161305
26,36,0.6614999999999999,0.21792831390161307
27,37,0.6609999999999998,0.21582168565739634
28,38,0.653,0.21815361560148389
29,39,0.6614999999999999,0.21792831390161305
30,40,0.6589999999999999,0.21358604823349298
31,41,0.6614999999999999,0.21792831390161305
32,42,0.6634999999999998,0.21827219245703286
33,43,0.6614999999999999,0.21792831390161305
34,44,0.6589999999999999,0.21358604823349298
35,45,0.6589999999999999,0.2117049834085159
36,46,0.6614999999999999,0.21792831390161307
37,47,0.6595,0.21571914611364476
38,48,0.6595,0.21571914611364476
39,49,0.6589999999999999,0.2117049834085159
40,50,0.6614999999999999,0.21792831390161305
41,51,0.6614999999999999,0.21792831390161307
42,52,0.6614999999999999,0.21792831390161305
43,53,0.6614999999999999,0.21792831390161305
44,54,0.6595,0.219396330871781
45,55,0.6614999999999999,0.21792831390161307
46,56,0.6614999999999999,0.21792831390161307
47,57,0.6594999999999999,0.219396330871781
48,58,0.6595,0.219396330871781
49,59,0.6614999999999999,0.21792831390161307
50,60,0.6614999999999999,0.21792831390161307
51,61,0.6614999999999999,0.21792831390161305
52,62,0.6614999999999999,0.21792831390161307
53,63,0.6594999999999999,0.219396330871781
