,n features,mean score,std score
0,10,0.7458333333333332,0.21266007043061838
1,11,0.7304166666666666,0.203859888567287
2,12,0.699,0.21699743982104697
3,13,0.7133333333333333,0.2157544901039142
4,14,0.7020000000000002,0.21646503438456546
5,15,0.7185000000000001,0.21444884134813025
6,16,0.7695000000000001,0.19792050873463765
7,17,0.6706666666666666,0.23754672055080964
8,18,0.701,0.21890916431758226
9,19,0.701,0.21890916431758226
10,20,0.6564166666666668,0.20002032882795798
11,21,0.7065,0.21300619448478228
12,22,0.7065,0.21300619448478228
13,23,0.701,0.21890916431758226
14,24,0.701,0.21890916431758226
15,25,0.6920000000000002,0.21662153376081725
16,26,0.6920000000000002,0.21662153376081725
17,27,0.7065,0.21300619448478228
18,28,0.7065,0.21300619448478228
19,29,0.6920000000000002,0.21662153376081725
20,30,0.7065,0.21300619448478228
21,31,0.701,0.21890916431758226
22,32,0.7065,0.21300619448478228
23,33,0.701,0.21890916431758226
24,34,0.701,0.21890916431758226
25,35,0.6920000000000002,0.21662153376081725
26,36,0.7065,0.21300619448478228
27,37,0.6920000000000002,0.21662153376081725
28,38,0.6800833333333334,0.18596928883256206
29,39,0.6800833333333334,0.18596928883256206
30,40,0.6920000000000002,0.21662153376081725
31,41,0.701,0.21890916431758226
32,42,0.7065,0.21300619448478228
33,43,0.6920000000000002,0.21662153376081725
34,44,0.6920000000000002,0.21662153376081725
35,45,0.6763333333333336,0.2336329029339261
36,46,0.7065,0.21300619448478228
37,47,0.7065,0.21300619448478228
38,48,0.6800833333333334,0.18596928883256206
39,49,0.701,0.21890916431758226
40,50,0.701,0.21890916431758226
41,51,0.6920000000000002,0.21662153376081725
42,52,0.6920000000000002,0.21662153376081725
43,53,0.6920000000000002,0.21662153376081725
44,54,0.7065,0.21300619448478228
45,55,0.6564166666666668,0.20002032882795798
46,56,0.7065,0.21300619448478228
47,57,0.701,0.21890916431758226
48,58,0.7065,0.21300619448478228
49,59,0.701,0.21890916431758226
50,60,0.6800833333333334,0.18596928883256206
51,61,0.7065,0.21300619448478228
52,62,0.7065,0.21300619448478228
53,63,0.6920000000000002,0.21662153376081725
