,n features,mean score,std score
0,10,1.0,0.0
1,11,1.0,0.0
2,12,1.0,0.0
3,13,1.0,0.0
4,14,1.0,0.0
5,15,1.0,0.0
6,16,1.0,0.0
7,17,1.0,0.0
8,18,1.0,0.0
9,19,1.0,0.0
10,20,1.0,0.0
11,21,1.0,0.0
12,22,1.0,0.0
13,23,1.0,0.0
14,24,1.0,0.0
15,25,1.0,0.0
16,26,1.0,0.0
17,27,1.0,0.0
18,28,1.0,0.0
19,29,1.0,0.0
20,30,1.0,0.0
21,31,1.0,0.0
22,32,1.0,0.0
23,33,1.0,0.0
24,34,1.0,0.0
25,35,1.0,0.0
26,36,1.0,0.0
27,37,1.0,0.0
28,38,1.0,0.0
29,39,1.0,0.0
30,40,1.0,0.0
31,41,1.0,0.0
32,42,1.0,0.0
33,43,1.0,0.0
34,44,1.0,0.0
35,45,1.0,0.0
36,46,1.0,0.0
37,47,1.0,0.0
38,48,1.0,0.0
39,49,1.0,0.0
40,50,1.0,0.0
41,51,1.0,0.0
42,52,1.0,0.0
43,53,1.0,0.0
44,54,1.0,0.0
45,55,1.0,0.0
46,56,1.0,0.0
47,57,1.0,0.0
48,58,1.0,0.0
49,59,1.0,0.0
50,60,1.0,0.0
51,61,1.0,0.0
52,62,1.0,0.0
53,63,1.0,0.0
