,n features,mean score,std score
0,10,0.36999999999999994,0.3236767935250637
1,11,0.5683333333333334,0.3350746185553301
2,12,0.3549999999999999,0.2959495077054718
3,13,0.3483333333333333,0.32411846256851484
4,14,0.33833333333333326,0.3269853887323475
5,15,0.3233333333333333,0.29610433596585134
6,16,0.5033333333333333,0.33827996294982254
7,17,0.35,0.2976761849915292
8,18,0.38166666666666665,0.31648679101802796
9,19,0.38166666666666665,0.31648679101802796
10,20,0.58,0.2976575213227443
11,21,0.4016666666666666,0.3028521824990609
12,22,0.37000000000000005,0.29114715637743516
13,23,0.4016666666666666,0.3028521824990609
14,24,0.38166666666666665,0.31648679101802796
15,25,0.38166666666666665,0.31648679101802796
16,26,0.38166666666666665,0.31648679101802796
17,27,0.37000000000000005,0.29114715637743516
18,28,0.58,0.2976575213227443
19,29,0.38166666666666665,0.31648679101802796
20,30,0.28,0.29047853238712457
21,31,0.38166666666666665,0.31648679101802796
22,32,0.38166666666666665,0.31648679101802796
23,33,0.37000000000000005,0.29114715637743516
24,34,0.58,0.2976575213227443
25,35,0.58,0.2976575213227443
26,36,0.38166666666666665,0.31648679101802796
27,37,0.58,0.2976575213227443
28,38,0.38166666666666665,0.31648679101802796
29,39,0.58,0.2976575213227443
30,40,0.22333333333333333,0.28305869041988835
31,41,0.38166666666666665,0.31648679101802796
32,42,0.58,0.2976575213227443
33,43,0.58,0.2976575213227443
34,44,0.4016666666666666,0.3028521824990609
35,45,0.37000000000000005,0.29114715637743516
36,46,0.58,0.2976575213227443
37,47,0.4016666666666666,0.3028521824990609
38,48,0.37000000000000005,0.29114715637743516
39,49,0.58,0.2976575213227443
40,50,0.58,0.2976575213227443
41,51,0.4016666666666666,0.3028521824990609
42,52,0.58,0.2976575213227443
43,53,0.58,0.2976575213227443
44,54,0.58,0.2976575213227443
45,55,0.37000000000000005,0.29114715637743516
46,56,0.58,0.2976575213227443
47,57,0.58,0.2976575213227443
48,58,0.4016666666666666,0.3028521824990609
49,59,0.58,0.2976575213227443
50,60,0.58,0.2976575213227443
51,61,0.4016666666666666,0.3028521824990609
52,62,0.38166666666666665,0.31648679101802796
53,63,0.4016666666666666,0.3028521824990609
